census_tract,loan_type,count
25023545300.0,2,24
25023545300.0,3,7
25023545300.0,4,6
25023545400.0,1,109
25023545400.0,2,27
25023545400.0,3,17
25023545400.0,4,2
25023560100.0,1,155
25023560100.0,2,5
25023560100.0,3,6
25023561100.0,1,122
25023561100.0,2,7
25023561100.0,3,8
25023561200.0,1,9
25023561200.0,2,7
25023561200.0,3,1
25025000100.0,1,97
25025000201.0,1,44
25025000201.0,2,4
25025000202.0,1,29
25025000202.0,3,1
25025000301.0,1,54
25025000301.0,3,2
25025000302.0,1,44
25025000302.0,2,2
25025000401.0,1,60
25025000402.0,1,59
25025000502.0,1,34
25025000503.0,1,39
25025000503.0,3,1
25025000504.0,1,92
25025000601.0,1,39
25025000601.0,2,2
25025000602.0,1,23
25025000602.0,2,1
25025000701.0,1,58
25025000703.0,1,5
25025000704.0,1,61
25025000802.0,1,53
25025010103.0,1,3
25025010104.0,1,56
25025010203.0,1,29
25025010204.0,1,28
25025010204.0,3,1
25025010300.0,1,9
25025010403.0,1,32
25025010404.0,1,39
25025010404.0,3,1
25025010405.0,1,11
25025010408.0,1,8
25025010500.0,1,37
25025010600.0,1,42
25025010701.0,1,38
25025010702.0,1,56
25025010801.0,1,73
25025010802.0,1,100
25025020101.0,1,101
25025020200.0,1,101
25025020301.0,1,14
25025020302.0,1,53
25025020303.0,1,57
25025020303.0,2,1
25025030100.0,1,28
25025030100.0,3,3
25025030200.0,1,30
25025030300.0,1,110
25025030300.0,2,1
25025030400.0,1,60
25025030400.0,2,3
25025030500.0,1,76
25025040100.0,1,101
25025040200.0,1,38
25025040200.0,3,2
25025040300.0,1,203
25025040300.0,2,1
25025040401.0,1,90
25025040401.0,3,4
25025040600.0,1,158
25025040600.0,2,1
25025040600.0,3,1
25025040801.0,1,90
25025040801.0,3,2
25025050101.0,1,90
25025050101.0,2,5
25025050101.0,3,2
25025050200.0,1,93
25025050200.0,2,4
25025050300.0,1,252
25025050300.0,3,3
25025050400.0,1,101
25025050400.0,3,2
25025050500.0,1,29
25025050600.0,1,47
25025050600.0,2,1
25025050600.0,3,1
25025050700.0,1,95
25025050700.0,2,4
25025050901.0,1,84
25025050901.0,2,5
25025050901.0,3,2
25025051000.0,1,75
25025051000.0,2,3
25025051000.0,3,1
25025051101.0,1,106
25025051101.0,2,8
25025051101.0,3,6
25025051200.0,1,204
25025051200.0,2,1
25025051200.0,3,2
25025060101.0,1,155
25025060101.0,3,2
25025060200.0,1,56
25025060301.0,1,121
25025060301.0,3,2
25025060400.0,1,218
25025060400.0,2,2
25025060400.0,3,2
25025060501.0,1,280
25025060501.0,3,3
25025060600.0,1,282
25025060600.0,2,1
25025060600.0,3,1
25025060800.0,1,255
25025060800.0,2,1
25025060800.0,3,4
25025061000.0,1,79
25025061000.0,3,2
25025061101.0,1,4
25025061200.0,1,345
25025061200.0,2,2
25025061200.0,3,8
25025070101.0,1,140
25025070101.0,4,1
25025070200.0,1,31
25025070200.0,3,1
25025070300.0,1,148
25025070300.0,2,1
25025070402.0,1,90
25025070500.0,1,143
25025070600.0,1,103
25025070700.0,1,64
25025070800.0,1,101
25025070800.0,3,1
25025070900.0,1,84
25025071101.0,1,127
25025071101.0,3,1
25025071201.0,1,76
25025080100.0,1,20
25025080100.0,2,3
25025080300.0,1,20
25025080300.0,2,4
25025080401.0,1,28
25025080500.0,1,8
25025080601.0,1,24
25025080601.0,2,2
25025080801.0,2,1
25025080900.0,1,13
25025081001.0,1,27
25025081100.0,1,64
25025081200.0,1,18
25025081200.0,2,2
25025081300.0,1,19
25025081300.0,2,1
25025081400.0,1,49
25025081400.0,2,2
25025081500.0,1,22
25025081500.0,2,1
25025081700.0,1,30
25025081700.0,2,5
25025081800.0,1,31
25025081800.0,2,6
25025081900.0,1,28
25025081900.0,2,6
25025082000.0,1,23
25025082000.0,2,4
25025082000.0,3,1
25025082100.0,1,8
25025082100.0,2,1
25025090100.0,1,28
25025090100.0,2,10
25025090200.0,1,10
25025090200.0,2,4
25025090300.0,1,17
25025090300.0,2,7
25025090400.0,1,31
25025090400.0,2,8
25025090400.0,3,1
25025090600.0,1,18
25025090600.0,2,1
25025090600.0,3,1
25025090700.0,1,121
25025090700.0,3,1
25025090901.0,1,1
25025091001.0,1,66
25025091100.0,1,116
25025091100.0,3,3
25025091200.0,1,55
25025091200.0,2,3
25025091300.0,1,26
25025091300.0,2,5
25025091400.0,1,21
25025091400.0,2,1
25025091400.0,3,3
25025091500.0,1,51
25025091600.0,1,39
25025091600.0,2,2
25025091700.0,1,41
25025091800.0,1,15
25025091800.0,2,4
25025091900.0,1,30
25025091900.0,2,12
25025092000.0,1,29
25025092000.0,2,12
25025092101.0,1,186
25025092101.0,2,1
25025092101.0,3,11
25025092200.0,1,52
25025092200.0,2,4
25025092300.0,1,32
25025092300.0,2,1
25025092400.0,1,29
25025092400.0,2,12
25025092400.0,3,2
25025100100.0,1,30
25025100100.0,2,4
25025100100.0,3,1
25025100200.0,1,14
25025100200.0,2,7
25025100300.0,1,41
25025100300.0,2,10
25025100400.0,1,52
25025100400.0,2,2
25025100500.0,1,101
25025100500.0,2,12
25025100500.0,3,5
25025100601.0,1,108
25025100601.0,2,6
25025100601.0,3,9
25025100603.0,1,63
25025100603.0,3,3
25025100700.0,1,89
25025100700.0,2,7
25025100700.0,3,15
25025100800.0,1,111
25025100800.0,2,4
25025100800.0,3,11
25025100900.0,1,90
25025100900.0,2,11
25025100900.0,3,6
25025101001.0,1,45
25025101001.0,2,8
25025101002.0,1,22
25025101002.0,2,8
25025101101.0,1,9
25025101101.0,2,14
25025101102.0,1,24
25025101102.0,2,13
25025101102.0,3,1
25025110103.0,1,176
25025110103.0,2,4
25025110103.0,3,3
25025110201.0,1,39
25025110201.0,2,4
25025110301.0,1,69
25025110301.0,2,4
25025110401.0,1,65
25025110401.0,2,5
25025110403.0,1,97
25025110403.0,2,1
25025110403.0,3,1
25025110501.0,1,84
25025110501.0,2,4
25025110501.0,3,1
25025110502.0,1,104
25025110502.0,2,2
25025110601.0,1,61
25025110601.0,2,3
25025110601.0,3,6
25025110607.0,1,163
25025110607.0,3,4
25025120103.0,1,27
25025120104.0,1,65
25025120105.0,1,57
25025120105.0,3,1
25025120201.0,1,109
25025120201.0,2,1
25025120301.0,1,152
25025120301.0,2,5
25025120400.0,1,157
25025120500.0,1,59
25025120600.0,1,57
25025120700.0,1,63
25025120700.0,3,2
25025130100.0,1,142
25025130100.0,2,8
25025130100.0,3,7
25025130200.0,1,89
25025130200.0,2,1
25025130200.0,3,5
25025130300.0,1,84
25025130300.0,2,2
25025130300.0,3,4
25025130402.0,1,98
25025130402.0,2,5
25025130402.0,3,10
25025130404.0,1,76
25025130404.0,2,8
25025130404.0,3,9
25025130406.0,1,51
25025130406.0,2,2
25025130406.0,3,3
25025140102.0,1,61
25025140102.0,2,9
25025140102.0,3,7
25025140105.0,1,51
25025140105.0,2,11
25025140105.0,3,1
25025140106.0,1,10
25025140107.0,1,29
25025140107.0,2,9
25025140107.0,3,5
25025140201.0,1,21
25025140201.0,2,9
25025140201.0,3,3
25025140202.0,1,57
25025140202.0,2,20
25025140300.0,1,70
25025140300.0,2,15
25025140300.0,3,4
25025140400.0,1,95
25025140400.0,2,15
25025160101.0,1,65
25025160101.0,2,11
25025160200.0,1,29
25025160200.0,2,6
25025160200.0,3,1
25025160300.0,1,67
25025160300.0,3,3
25025160400.0,1,12
25025160400.0,2,4
25025160501.0,1,64
25025160501.0,2,8
25025160501.0,3,3
25025160502.0,1,110
25025160502.0,2,19
25025160601.0,1,52
25025160601.0,2,13
25025160602.0,1,48
25025160602.0,2,21
25025170100.0,1,113
25025170100.0,2,44
25025170100.0,3,1
25025170200.0,1,73
25025170200.0,2,29
25025170300.0,1,114
25025170300.0,2,25
25025170300.0,3,4
25025170400.0,1,70
25025170400.0,2,37
25025170400.0,3,2
25025170501.0,1,95
25025170501.0,2,12
25025170501.0,3,1
25025170502.0,1,67
25025170502.0,2,5
25025170502.0,3,5
25025170601.0,1,63
25025170601.0,2,30
25025170601.0,3,2
25025170701.0,1,47
25025170701.0,2,1
25025170701.0,3,3
25025170702.0,1,43
25025170702.0,2,18
25025170800.0,1,93
25025170800.0,2,20
25025170800.0,3,3
25025180101.0,1,99
25025180101.0,2,5
25025180200.0,1,69
25025180200.0,2,18
25025180200.0,3,3
25025180301.0,1,54
25025180301.0,2,10
25025180400.0,1,35
25025180400.0,2,3
25025180500.0,1,101
25025180500.0,2,10
25025180500.0,3,2
25025980700.0,1,1
25025981100.0,1,6
25025981300.0,1,33
25025981700.0,1,1
